Gene,Score
DIABLO,0.0029936812
DFFB,0.0005756085
DFFA,0.00040923787
KPNA1,0.31881446
KPNB1,0.034860667
PAK2,0.0011653368
ARHGAP10,0.019390145
RIPK1,0.0031275665
RIPK3,0.013207631
GCH1,0.26618394
GCHFR,0.0026569169
UBE2V1,0.0013282171
TRAF6,0.09808269
IRAK2,0.0023522233
HBEGF,0.0045594154
CAPZA2,0.0029589059
CAPZB,0.0010862123
CAPZA3,0.000947161
CAPZA1,0.00245157
GORASP1,0.0012558133
GOLGA2,0.020100452
TGFBR1,0.9098808
FKBP1A,0.057899818
RASGRF2,0.0065740235
RASGRF1,0.011347257
GRIA2,0.11347511
GRIA1,0.06589245
TYK2,0.45196024
IFNAR1,0.0074633136
TFB2M,0.0014439394
POLRMT,6.258164e-05
DGCR8,0.007022993
DROSHA,0.13666981
TSNAX,0.00085613225
TSN,0.00013267201
BAZ2A,0.070878334
DNMT3A,0.091941655
DNMT3L,0.711122
DNMT3B,0.56322014
CUL1,0.03690343
CAND1,0.00020341824
TFRC,0.01019587
HFE,0.010331497
TF,0.0012341077
HSD17B8,0.00041393514
CBR4,0.0006051949
CCNB2,0.004036536
SBF1,0.48759177
MTMR2,0.0062531177
MTMR7,0.0031837288
MTMR9,0.004838852
PIK3CB,0.051920924
PIK3R2,0.754641
PIK3CD,0.22745308
PIK3R3,0.18582316
PIK3R5,0.0010511767
PIK3CG,0.39911458
PLEKHA2,8.442582e-05
PTPN13,0.0008957552
PLEKHA1,0.028814895
MTMR6,0.0052365586
SBF2,0.006713545
MTM1,0.00047312808
MTMR12,0.0001397385
GAB2,0.04657513
ITPR1,0.038435288
MRVI1,0.0062133847
PTPN6,0.9330573
PECAM1,0.02473774
PTPN11,0.82312506
IL6R,0.044518933
IL6,0.0006146992
STAT1,0.7715119
STAT3,0.99602485
KDR,0.2975532
HRG,0.0010198472
PLG,0.00013654225
ANXA2,0.027740352
S100A10,0.0015839769
SERPINF2,0.018831288
PLAU,0.002600347
PLAUR,0.0042731212
ATP7A,0.00043083957
PDZD11,0.002189049
CLCN7,9.535015e-05
OSTM1,0.004117292
TXN,0.0062801996
TXNIP,0.12209257
NLRP3,0.19883934
MEFV,0.020649875
PSTPIP1,0.0011703093
PYCARD,0.023991372
CGA,0.009796718
LHB,0.00861932
AVPR2,0.002713887
AVP,1.41261735e-05
GCG,0.0019009038
GCGR,0.0028003159
RAMP3,0.0013174748
CALCR,0.0020643813
RAMP1,0.0031459238
TSHB,0.004457122
GPHB5,0.00060766283
GPHA2,0.0031331866
CALCRL,0.013541369
RAMP2,0.009882627
GLP2R,0.00060846
FSHB,0.0011106245
ITGAV,0.049410943
ITGB5,0.0066285827
STX4,1.2461725e-05
SEC22B,0.00069834216
GLI3,0.4752664
PTCH1,0.0014093844
GLI1,0.055568337
GLI2,0.08178293
SUFU,0.058991246
NUMB,0.088994235
ITCH,0.345965
ABHD5,0.0005677899
PLIN1,0.00078545784
LIPE,0.0071064206
FABP4,0.004346808
KCNJ16,0.0008350016
KCNJ15,0.00060687686
KCNJ10,0.0041783014
CXCL16,0.00033855214
CXCR6,0.00023358909
C5AR1,0.0067367265
C5,0.00021553022
CX3CL1,0.018647987
CX3CR1,0.0026892128
TAS1R2,0.0001436419
